LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-24 07:56:14,MEDAK,ARS_NARSAPUR,,25.4,100.0,,Zone 4,,Zone 5,TELANGANA,28.2,61.8,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-05-24 07:56:14,MEDAK,MEDAK,,26.3,99.0,,Zone 4,,Zone 5,TELANGANA,30.4,63.3,30.4,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.3,Zone 5,68.7,Zone 5
2025-05-24 07:56:14,MEDCHAL_MALKAJGIRI,CGWB_NAGOLE,,26.4,66.0,,Zone 4,,Zone 5,TELANGANA,27.2,46.3,27.2,Zone 4,41.8,Zone 5,32.7,Zone 4,57.3,Zone 5,37.8,Zone 4,61.4,Zone 5,46.3,Zone 5,63.7,Zone 5
2025-05-24 07:56:14,MEDCHAL_MALKAJGIRI,KUKATPALLY_JNTU,,26.6,85.0,,Zone 4,,Zone 5,TELANGANA,28.8,60.2,28.8,Zone 4,59.1,Zone 5,35.4,Zone 4,62.4,Zone 5,48.1,Zone 5,64.8,Zone 5,60.2,Zone 5,66.6,Zone 5
2025-05-24 07:56:14,KAMAREDDY,NAGIREDDYPET,,25.9,86.0,,Zone 4,,Zone 5,TELANGANA,27.9,59.6,27.9,Zone 4,57.2,Zone 5,34.5,Zone 4,61.9,Zone 5,45.1,Zone 5,64.3,Zone 5,59.6,Zone 5,66.2,Zone 5
2025-05-24 07:56:14,LEH,NUBRA_HUNDER,,16.0,41.0,,Zone 2,,Zone 4,LADAKH,12.8,28.0,12.8,Zone 2,27.6,Zone 4,20.6,Zone 3,31.0,Zone 4,24.6,Zone 3,34.3,Zone 4,28.0,Zone 4,37.4,Zone 4
2025-05-24 07:56:14,SAGAR,SAGAR,,29.4,54.0,,Zone 4,,Zone 5,MADHYA_PRADESH,30.5,51.7,30.5,Zone 4,47.0,Zone 5,35.9,Zone 4,59.7,Zone 5,40.8,Zone 4,62.4,Zone 5,51.7,Zone 5,64.6,Zone 5
2025-05-24 07:56:14,LEH,CHUCHOT_YOKMA,,18.8,22.0,,Zone 3,,Zone 4,LADAKH,15.1,29.7,15.1,Zone 3,29.4,Zone 4,22.5,Zone 3,32.6,Zone 4,26.3,Zone 4,35.7,Zone 4,29.7,Zone 4,38.7,Zone 4
2025-05-24 07:56:14,TINSUKIA,NTPS_APDCL,,28.0,100.0,,Zone 4,,Zone 5,ASSAM,34.8,66.3,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-05-24 07:56:14,TINSUKIA,RUPAI_AEGCL,,27.2,89.0,,Zone 4,,Zone 5,ASSAM,30.2,62.0,30.2,Zone 4,60.9,Zone 5,37.3,Zone 4,63.9,Zone 5,56.5,Zone 5,66.1,Zone 5,62.0,Zone 5,67.8,Zone 5
