STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Arunachal Pradesh,Namsai,Namsai Kvk,26.5,2026-08-31,01:15:00,100.0,2026-08-30,01:15:00,2026-08-31 01:18:56,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
Arunachal Pradesh,Papumpare,Itanagar,26.4,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
Arunachal Pradesh,Papumpare,Yupia,27.6,2026-08-31,01:15:00,62.0,2026-08-30,01:15:00,2026-08-31 01:18:56,28.3,Zone 4,48.4,Zone 5,28.3,Zone 4,43.8,Zone 5,33.8,Zone 4,58.9,Zone 5,38.8,Zone 4,61.8,Zone 5,48.4,Zone 5,64.0,Zone 5
Arunachal Pradesh,Siang,Pangin Circle,24.8,2026-08-31,00:45:00,100.0,2026-08-30,00:45:00,2026-08-31 01:18:56,27.2,Zone 4,60.9,Zone 5,27.2,Zone 4,59.8,Zone 5,34.4,Zone 4,63.0,Zone 5,51.3,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
Arunachal Pradesh,Tawang,Domane,,,,97.0,2026-08-30,00:30:00,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Tirap,Deomali,25.8,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
Arunachal Pradesh,Tirap,Longding,26.4,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Siang,Yingkiong,26.4,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Subhanseri,Daporijo,26.0,2026-08-31,01:00:00,95.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.8,Zone 4,61.6,Zone 5,28.8,Zone 4,60.5,Zone 5,36.0,Zone 4,63.6,Zone 5,54.7,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
Arunachal Pradesh,West Kameng,Dirang,21.7,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
Arunachal Pradesh,West Kameng,Dirang,18.1,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,18.3,Zone 3,32.7,Zone 4,18.3,Zone 3,31.7,Zone 4,23.9,Zone 3,36.3,Zone 4,28.1,Zone 4,48.6,Zone 5,32.7,Zone 4,59.2,Zone 5
Arunachal Pradesh,West Kameng,Kalaktang,20.2,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,20.8,Zone 3,35.8,Zone 4,20.8,Zone 3,34.6,Zone 4,25.7,Zone 4,45.4,Zone 5,30.9,Zone 4,58.4,Zone 5,35.8,Zone 4,61.4,Zone 5
Arunachal Pradesh,West Siang,Along,25.8,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
Arunachal Pradesh,West Siang,Yomcha,22.9,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,24.3,Zone 3,53.0,Zone 5,24.3,Zone 3,48.2,Zone 5,30.3,Zone 4,59.9,Zone 5,36.1,Zone 4,62.6,Zone 5,53.0,Zone 5,64.8,Zone 5
Assam,Barpeta,Bajali University,27.9,2026-08-31,01:00:00,99.0,2026-08-30,01:00:00,2026-08-31 01:18:56,34.6,Zone 4,66.0,Zone 5,34.6,Zone 4,65.1,Zone 5,58.6,Zone 5,67.5,Zone 5,63.1,Zone 5,69.2,Zone 5,66.0,Zone 5,72.3,Zone 6
Assam,Barpeta,Barpeta,25.8,2026-08-31,00:45:00,98.0,2026-08-30,00:45:00,2026-08-31 01:18:56,29.1,Zone 4,62.2,Zone 5,29.1,Zone 4,61.2,Zone 5,37.3,Zone 5,64.1,Zone 5,57.6,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
Assam,Barpeta,Barpeta Kvk,25.6,2026-08-31,01:15:00,100.0,2026-08-30,01:15:00,2026-08-31 01:18:56,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
Assam,Charaideo,Sonari Aegcl,,,,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Chirang,Bijni,25.4,2026-08-31,01:15:00,99.0,2026-08-30,01:15:00,2026-08-31 01:18:56,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
Assam,Chirang,Chirang,25.5,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Chirang,Kajalgaon,25.4,2026-08-31,01:00:00,98.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.0,Zone 4,61.4,Zone 5,28.0,Zone 4,60.3,Zone 5,35.3,Zone 4,63.4,Zone 5,53.6,Zone 5,65.6,Zone 5,61.4,Zone 5,67.4,Zone 5
Assam,Darrang,Dalgaon,24.9,2026-08-31,01:15:00,91.0,2026-08-30,01:15:00,2026-08-31 01:18:56,26.6,Zone 4,59.0,Zone 5,26.6,Zone 4,54.9,Zone 5,33.1,Zone 4,61.3,Zone 5,42.4,Zone 5,63.9,Zone 5,59.0,Zone 5,65.8,Zone 5
Assam,Darrang,Garukhuti,28.2,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Darrang,Mangaldai,26.8,2026-08-31,01:00:00,92.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.6,Zone 4,62.7,Zone 5,30.6,Zone 4,61.6,Zone 5,39.4,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
Assam,Dhemaji,Silapathar Science College,27.7,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
Assam,Dhubri,Agomani,26.8,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Dhubri,Bn College,27.2,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,31.8,Zone 4,64.5,Zone 5,31.8,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.5,Zone 6
Assam,Dhubri,Gauripur Aegcl,26.7,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Dibrugarh,Bcpl Dibrugarh,,,,26.0,2026-08-30,01:00:00,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Dibrugarh,Dibrugarh,24.5,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Assam,Dibrugarh,Lahowal,,,,16.0,2026-08-30,01:15:00,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
